x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y,y_clean,sigma
0.8093611554785136,0.8101133946791808,0.8670723185801037,0.9132405525564712,0.5113423988609378,0.5015162946871996,0.7982951789667752,0.6499639307777652,0.7019668772577033,0.795792669436101,23.626782230552337,23.211683032813472,0.4862329809255818
0.8900053418175663,0.3379951568515358,0.375582952639944,0.093981939840869,0.578280140996174,0.035942273796742,0.4655980181324601,0.5426446347075766,0.2865412521282844,0.5908332605690108,11.319176836657462,12.246051099402884,0.4862329809255818
0.0305002499390494,0.0373481887492144,0.8226005606596583,0.3601906414112629,0.1270605126518847,0.5222432600548044,0.7699935530986108,0.2158210274968431,0.6228904758190003,0.085347464993768,6.4100520603801305,6.354418131601312,0.4862329809255818
0.0516817211686077,0.531354631568148,0.5406351216101065,0.6374299014982066,0.7260913337226615,0.9758520794625346,0.5163003483011953,0.3229564729412459,0.7951861947687037,0.2708322512620742,10.679192694988568,10.899433021245468,0.4862329809255818
0.4389714207056361,0.0784563813422659,0.0253507434154575,0.9626484146779252,0.8359801205122058,0.695974206093698,0.4089529444142699,0.1732943200708457,0.156437042671086,0.2502428981645953,19.52315008667083,19.39208124213223,0.4862329809255818
0.5492266647061205,0.7145959227000623,0.6601973767177313,0.2799338969459428,0.954865280663194,0.7378969166957685,0.5543540525114007,0.6117207462343522,0.4196000624277899,0.2477309895011574,16.964644586329822,17.52179214996934,0.4862329809255818
0.3559726786512616,0.7578461104643691,0.0143934886297558,0.1160726405069162,0.0460026420217527,0.0407288023189701,0.8554605840110072,0.7036578593800237,0.4741738290873252,0.0978341606510014,13.515971162026094,13.603395803153694,0.4862329809255818
0.4916158751168323,0.4734717707805657,0.1732018699100151,0.433851649237973,0.3985047343973734,0.6158500980522165,0.6350936508676438,0.0453040097720445,0.3746126146264712,0.6258599157142364,15.078615967579962,15.145036255811114,0.4862329809255818
0.5031362585800877,0.8564898411883223,0.658693631618945,0.1629344270814297,0.0705687474004298,0.6424192782063156,0.0265113105416218,0.5857755812734633,0.9402302414249576,0.575474177875879,11.633576112897256,12.251368189978026,0.4862329809255818
0.3881699262065219,0.6432882184423532,0.4582528904915166,0.5456167893159349,0.9414648087765252,0.3861026378007742,0.9611905638239142,0.9053506419560636,0.1957911347892964,0.0693613008751654,18.16936341343568,17.26286300305506,0.4862329809255818
0.1007780013774266,0.0182218256515497,0.0944429607559284,0.6830067734163568,0.0711886484602289,0.3189756302937613,0.8448753109694546,0.0232719357358258,0.8144684825889358,0.2818547747733999,10.73496893050662,10.53323182285536,0.4862329809255818
0.1181648276216562,0.6967371653641506,0.628942846779884,0.877472013527053,0.7350710438038858,0.8034809303848486,0.2820345725713065,0.1774395437797228,0.7506147516408583,0.806834739267264,15.788277764853788,15.340326293774885,0.4862329809255818
0.9905051420006732,0.4126176769114265,0.3720180857927831,0.7764129607419968,0.3408035402530178,0.9307573256035648,0.8584127518430118,0.4289940273750183,0.7508710677914974,0.7545428740846823,19.21507181547464,19.38719670820397,0.4862329809255818
0.1031238688359326,0.9025529066795668,0.5052523724478571,0.8264574661077416,0.3200496010306117,0.8955232284962005,0.3892016787341631,0.0108376514802983,0.9053819764192635,0.0912866767861335,12.852321674088367,12.747914443744154,0.4862329809255818
0.3193136375904148,0.9500619670508048,0.950607146937556,0.5734378881232861,0.6318372121697993,0.4484455219783197,0.2932107716980645,0.3286645453699159,0.6725184560770384,0.75237452943768,20.52204952842409,21.10640507217069,0.4862329809255818
0.7915790437258485,0.7896181427945539,0.0912061030486903,0.4944203047025814,0.0575587600166442,0.5495288823237355,0.441530501373377,0.8877041827582998,0.3509150125520787,0.1170670164276058,17.501249981136485,17.812497980438668,0.4862329809255818
0.1429916820528358,0.7615106317174722,0.6182180633162611,0.1011226761227902,0.0841068061149974,0.70096913145912,0.0727630063641935,0.8218600592903562,0.7062422271564962,0.0813487806418997,4.62875488663614,5.065810294026865,0.4862329809255818
0.0848377140851919,0.9866395785011756,0.3742707957561203,0.3706421470668909,0.8127995672575026,0.9472485773838588,0.9860010638228708,0.7533781852589416,0.3762595855309157,0.0835007166986687,10.8301976972777,10.68602018197608,0.4862329809255818
0.7771469159274368,0.558404249735805,0.4242220092469763,0.906354385094736,0.1111974823061513,0.4926251042908591,0.011353644767419,0.4686606419941262,0.0563032756818373,0.1188179162680719,20.3499253831213,19.51994146312588,0.4862329809255818
0.1175262467771048,0.6492103021160636,0.7460448792654233,0.5833687650971596,0.962172548474542,0.374870579523704,0.2857120862818607,0.8685991281894603,0.2235958385194526,0.9632225394406112,14.668724649984227,14.229435494570325,0.4862329809255818
0.0121544746898163,0.969878826707639,0.0431599119505761,0.8911431136980711,0.5277011090862999,0.9929647961193004,0.0737965647353988,0.5538542844013208,0.969302535619099,0.5230978441701488,16.975181693526405,16.094251844992744,0.4862329809255818
0.6293986381352625,0.6957486889846172,0.4545410647677732,0.6275580800840634,0.5843143119231002,0.901158010490989,0.0454463803414578,0.2809631895922303,0.9504114840765588,0.8902637838909163,19.43476424571817,19.048799252156684,0.4862329809255818
0.4556567527857129,0.6201325978015367,0.2773811829811327,0.1881211597237613,0.4636984049399821,0.3533522280260528,0.5836561118508721,0.0777346369649848,0.9743948076661664,0.9862107444796028,13.15150774068388,12.947184562244692,0.4862329809255818
0.6981617140197451,0.5360963663441204,0.3095276162863277,0.8137950197069487,0.6847311725538793,0.1626169393448913,0.9109271844938424,0.822537242923169,0.949799913291924,0.72571950838836,21.06881743567935,21.51733990964576,0.4862329809255818
0.6134151959357899,0.4182430362906189,0.9327284833540131,0.8660638895004084,0.0452186701061894,0.026366974497252,0.3764633668780496,0.8105533307818329,0.9872761293149444,0.1504168911035281,20.004226600179816,19.847020317237,0.4862329809255818
0.5941307153521351,0.3808908566310215,0.9699143978146032,0.8421189231357087,0.8383287047111379,0.4686931597949703,0.4148195023376652,0.2734070719307062,0.0563754966509271,0.8647223762550532,23.324131702643065,23.554680503886047,0.4862329809255818
0.8129010091300776,0.9997176732861306,0.9966368370739054,0.5554317056026274,0.7689874151805105,0.944765729882428,0.8496473906774115,0.2473481017431976,0.4505441353100935,0.1291594151514949,20.288011937255323,19.883438653995945,0.4862329809255818
0.9540510272587224,0.60617463445088,0.2286428055034627,0.6717006844058567,0.6181282404578958,0.3581627180328405,0.113557592199629,0.6715731955927996,0.5203077009037933,0.7723183917356393,20.31827697807652,20.979153047526136,0.4862329809255818
0.5201635011119934,0.8521815003185401,0.5519068387744855,0.5609379715353863,0.876653602658345,0.403482866212397,0.1340152284506407,0.0287826763133389,0.755137255673619,0.6203095513534647,19.835587919687857,19.888158348075105,0.4862329809255818
0.7040797680992236,0.2129641615089107,0.1363714755867697,0.0145446656678819,0.350587558806597,0.5899176868546331,0.3922440450997323,0.437474922023729,0.9041586944937484,0.3482554670233003,9.089713324357218,9.08122912259045,0.4862329809255818
0.5139894891598108,0.7836530127411431,0.3965427823212701,0.6220867002278735,0.8623637087467452,0.949520623657642,0.1470734809290379,0.9265876251614944,0.4921162930795382,0.2582443882989583,21.152702815035717,20.284032869993016,0.4862329809255818
0.4591357562382613,0.980032575285477,0.4926180939928696,0.3287516102875082,0.6334008543167258,0.240145618778193,0.0758633281086639,0.1288797219106492,0.1280458389577724,0.1519026935122943,15.834858158385162,16.33233630430636,0.4862329809255818
0.1388271726494101,0.6408747448032146,0.1818800843991448,0.3456672833238632,0.8967884099060118,0.4739616402628723,0.6675577385210272,0.1723198712016298,0.1922890188086707,0.0408686162664788,13.291464013965468,12.723468462313557,0.4862329809255818
0.1689350630721645,0.2785903390319586,0.1770104842767468,0.0887025337570556,0.1206358711006008,0.4607787680327257,0.2063337184057925,0.3642698610480754,0.5034172708548569,0.6903948286293653,5.45018703435474,5.049817016124599,0.4862329809255818
0.0393121398410989,0.7994103989090426,0.6279003894909078,0.0817590319488719,0.8735786241067772,0.9208724005318132,0.0610779598548637,0.2768776481472037,0.8062012797930613,0.7482596903836584,6.373973023060937,6.498344139706085,0.4862329809255818
0.1845210193563773,0.2093493233367103,0.370472102791382,0.4845229851910213,0.618254771530296,0.3689136395697724,0.4625347161331479,0.7474709381337565,0.0366832028905979,0.2524369443440207,9.681845746451057,9.48265340090204,0.4862329809255818
0.7133495858845524,0.8952068376871993,0.5116774421156661,0.5321134852653157,0.107172011339776,0.4474123668234546,0.5326172664550232,0.2424705036347296,0.2692432309493809,0.3772841631046226,14.80523398279552,14.92669245845448,0.4862329809255818
0.0200711977777263,0.3220791655831783,0.2114480069965446,0.3274973521779146,0.1197621318192512,0.890527280739895,0.5935924535540487,0.6791023191444896,0.7891712386073383,0.4984421989290573,5.749204367538774,5.742103990607669,0.4862329809255818
0.0869202880874236,0.5371065418185478,0.5868411180208791,0.74543947418433,0.4316595462296794,0.1275803027955637,0.2837759057987244,0.3630822963986351,0.6459172413316012,0.5707783046689119,11.591069701428063,11.224934283347356,0.4862329809255818
0.3560967258978462,0.9865152487929796,0.6057748193568872,0.2372267917359944,0.1017824726204037,0.152859139184332,0.2459577283845081,0.1606813732595556,0.1865670240513057,0.2850951686938471,13.270690935066185,12.033405840828951,0.4862329809255818
0.1733735952947548,0.8967654246264252,0.0802337456616422,0.5245113895702547,0.4103968269896615,0.9823786169086064,0.1120389021680523,0.3978555990457416,0.9694704332753687,0.8655071258939803,15.982475953761684,15.513665541772369,0.4862329809255818
0.8170720709492799,0.2579028270449398,0.1708875873900658,0.668643219924431,0.9293759891275858,0.5567628930139298,0.5716126894698998,0.2799790936602842,0.7694929331919369,0.1870437485575233,19.767024529068756,19.646668254683405,0.4862329809255818
0.3236792364042437,0.4254364386164168,0.507610378684455,0.2424097324150802,0.1148368247392035,0.6106200424416326,0.2886305532402557,0.5812382214226123,0.1543627152742023,0.4811401018548175,7.884132311946359,7.191883328541904,0.4862329809255818
0.5325894325515859,0.0518235368224269,0.3366042781939206,0.1344146769389742,0.0633749704727677,0.9899602323899452,0.3223538449747229,0.8098744458546349,0.2546406547637638,0.6815027222239293,2.3703021461915985,3.0609992600467475,0.4862329809255818
0.7602278598896866,0.5956387406078443,0.4715761885501583,0.4118409141472685,0.3488682665429953,0.9295291442478258,0.8306194077877291,0.9650269106665126,0.1242972234855447,0.7308674752036443,15.572556175877171,15.7692687488484,0.4862329809255818
0.9383404568210378,0.1812330661656601,0.0664962673667775,0.741120649290059,0.5744731131799119,0.8418287767582721,0.1397723766262895,0.7952673118598902,0.2016273200477445,0.1636559428657045,19.166750447134994,19.134072835143243,0.4862329809255818
0.1642657979309929,0.8145747202313821,0.6651972206962001,0.5230654247691193,0.3588304841235025,0.8772005408131083,0.3924451074226354,0.8165994394715771,0.4391349085702184,0.3769444294249076,11.1465782856053,11.651558500315616,0.4862329809255818
0.4626797856696064,0.3013778741641421,0.7476093801762511,0.5027203900924792,0.2322126951468173,0.8995745732745685,0.3838912213732114,0.5435528611139886,0.9064721109645468,0.6242379959139921,11.393314842167564,11.65638452352115,0.4862329809255818
0.116898040708364,0.9398321236134752,0.6277080530714179,0.3349056146570861,0.1392720726633872,0.794025189270296,0.6200727559285135,0.5334610919763215,0.8938925830509576,0.7885972112245307,6.949796344404788,7.754978146636664,0.4862329809255818
0.1516748797327511,0.3117220677955482,0.2484891398144657,0.743946292572677,0.0335324347357793,0.5698896848713165,0.7624586857406905,0.8767656367617495,0.3420817487159074,0.8212573046720129,9.730411008831796,10.352181296749592,0.4862329809255818
0.1106317369552072,0.8464522917345182,0.1274886623319824,0.3972872905603672,0.7972953657795536,0.1499174273487737,0.2292513952326414,0.7222525683930663,0.7200365365460744,0.6411476328852973,13.51518857824334,13.6343182350267,0.4862329809255818
0.6939484444671,0.5427244433475962,0.2517990589069527,0.3456959935039194,0.1815977168014256,0.9084505613336284,0.5833917947661205,0.4008514167636399,0.4620058036441327,0.9472833396118152,14.39785295830062,14.855207516435796,0.4862329809255818
0.1533514031160802,0.5862298320167972,0.505888678884466,0.6114542354346478,0.0181101838208405,0.8721239089441515,0.9321182824836124,0.5651331835892089,0.6966508238768923,0.9224993811772956,9.197260284288038,8.992655751429934,0.4862329809255818
0.7072386343133986,0.1525390429142613,0.5762883601668132,0.6067150463828559,0.424130671302386,0.7364442356247228,0.9343670147690148,0.9255685129067764,0.4508393714041321,0.1132380458407552,11.759077529469913,11.628886889849776,0.4862329809255818
0.9848411989623346,0.8388980864459341,0.1246626812032668,0.9208418826173724,0.8698963620621283,0.5188380571260721,0.5912754357449292,0.3990027038701302,0.0547616388220313,0.3351972416459009,21.74238903358001,21.56876695182386,0.4862329809255818
0.8028534485980114,0.0046320230046028,0.3334991716911442,0.3981686935909433,0.5373956029379229,0.9198556164127604,0.3463459943659612,0.3469532018962277,0.7375012481097484,0.4522179408898071,7.094673348129744,7.339943476752909,0.4862329809255818
0.2246048229399819,0.4524395161326934,0.1408570203797998,0.1763869865062233,0.4983677727394797,0.4189254495045479,0.9148459010681,0.3623938991166331,0.5805883502780435,0.6322642879195304,10.500199220088572,9.973917826111744,0.4862329809255818
0.0130944565883336,0.6635373720167106,0.1780359668697514,0.9610703174694551,0.1486627277531129,0.4146241237270237,0.0853496680786438,0.9968742518459474,0.5021950103312426,0.5953850173200438,12.943649776040658,12.70016203613988,0.4862329809255818
0.0670764773884274,0.7499604703991778,0.2099055930955857,0.8980542894407137,0.2051396404820071,0.1906877206636665,0.0365496678480948,0.4720669451099992,0.5648411332626164,0.0657086394283523,13.37230698863174,13.26313511043002,0.4862329809255818
0.7755276166950106,0.4532888347480276,0.52439026932758,0.4407627469382281,0.400763060875326,0.5596403313082179,0.1552402459307125,0.1819281304952711,0.8617856210135173,0.9461154621336328,15.46843745100698,15.355237539422877,0.4862329809255818
0.3733093162797529,0.2707446731435537,0.6439995432390158,0.4087341710980964,0.0253863556603448,0.1561525973661903,0.7159722288473975,0.6589239419101514,0.0270959925034834,0.2219721619329494,7.650249567358921,7.751158118461574,0.4862329809255818
0.2310747965880714,0.6718927435987284,0.0197105377543641,0.1041085819845738,0.7999160853731894,0.1785446620543336,0.6527461078518747,0.2381827810467265,0.0994413927593451,0.243172190999454,14.981789285133887,14.340670938470751,0.4862329809255818
0.7222669318556592,0.8556964681062857,0.8302198645669916,0.3971835296184548,0.6680851365706462,0.2049842954158209,0.2931477302610132,0.8963358185211198,0.013001923510736,0.085508530854468,19.368520207105625,18.813405585610816,0.4862329809255818
0.2078862551460273,0.0265322038738197,0.1814354350897973,0.5830415609696922,0.4214245505924979,0.8926717110769748,0.8174435617384409,0.3418173516978759,0.2594234334312925,0.3796924081672669,9.962845897659314,10.140477545101556,0.4862329809255818
0.5902949425148077,0.2680636408228762,0.624148907849134,0.4094116521912404,0.5520471808519802,0.4361265291353167,0.2944657595419176,0.9484533069621568,0.7636057941597608,0.1401131757664525,12.011721800244098,11.931528454583372,0.4862329809255818
0.8684679758979128,0.4874311982495136,0.8945522268940914,0.7998552559473152,0.4252135044692334,0.0224693083201173,0.2686773593849461,0.5416342146608669,0.6334782198261473,0.2578876854332023,22.75645438588438,22.94928005457609,0.4862329809255818
0.1393560740728241,0.8349302367992991,0.984402180703552,0.5256901823026858,0.1716792858483035,0.2723073265193689,0.0183906765474667,0.914298806560499,0.1177510828901411,0.5765164755142536,15.581506538854637,14.38267410240609,0.4862329809255818
0.274055220687206,0.5541780025157934,0.6514203883518642,0.8297418037072016,0.2064212717606032,0.0109958286584804,0.1368856300688072,0.9000186418481051,0.8738900775625152,0.5974131021703083,14.256310881090265,14.38040808338705,0.4862329809255818
0.6005168604336534,0.6650366745462555,0.1753712786234496,0.9144119459249598,0.4187705248920731,0.3831385282494974,0.5189177052828375,0.046965966775055,0.1662833687560794,0.7380336164263704,23.431226481484774,22.850037033804167,0.4862329809255818
0.0827986679251264,0.6031521094663882,0.2453491096813209,0.3892956140419765,0.2886937367706998,0.3556727164649491,0.7190459051842455,0.297121715623175,0.5664046402968972,0.4760504021990996,9.498603065983056,8.195855150607768,0.4862329809255818
0.6636711653626481,0.936829739324758,0.7325720972102503,0.2149403785907567,0.0311831350612846,0.2622640442998251,0.5950779307002548,0.0514258134842503,0.4963662472012363,0.5968428489168892,12.818646203223144,12.66453733650046,0.4862329809255818
0.3342438908169608,0.7709122037458219,0.1065982531337718,0.0751377817358087,0.7281887562036033,0.4954913162061984,0.688402396427736,0.4348273386037462,0.2464020332391068,0.8191023176741997,13.880091948610922,14.72706187292329,0.4862329809255818
0.7994158789689793,0.6946964708544268,0.2721451372299627,0.5902306668690871,0.3609738969400268,0.0915820733266341,0.9173135754622428,0.1368186309189614,0.9502373538208024,0.4460057729579557,19.329045836649893,18.594722216289966,0.4862329809255818
